,Vuosineljännes,Huoneluku,Neliöhinta (EUR/m2),Lukumäärä_x,Posti,Kaupunginosa_x,Kaupunki,Lukumäärä_y,Neliövuokra (eur/m2),Kaupunginosa_y,difference
7743,2022Q4,Kaksiot,2941.0,19,01600,Myyrmäki,Vantaa,487,18.57,Myyrmäki,158.37
7775,2022Q4,Kolmiot+,2186.0,31,01600,Myyrmäki,Vantaa,.,16.52,Myyrmäki,132.32
7807,2022Q4,Yksiöt,3742.96,14,01610,Kaivoksela,Vantaa,224,23.97,Kaivoksela,156.15
7839,2022Q4,Kaksiot,3532.0,44,01610,Kaivoksela,Vantaa,242,18.72,Kaivoksela,188.68
7871,2022Q4,Kolmiot+,2600.0,26,01610,Kaivoksela,Vantaa,.,17.44,Kaivoksela,149.08
7903,2022Q4,Yksiöt,3728.82,4,01620,Martinlaakso,Vantaa,452,25.64,Martinlaakso,145.43
7935,2022Q4,Kaksiot,2900.0,14,01620,Martinlaakso,Vantaa,.,16.67,Martinlaakso,173.97
8095,2022Q4,Yksiöt,2899.4,4,01650,Vapaala,Vantaa,30,20.84,Vapaala,139.13
8127,2022Q4,Kaksiot,1645.86,3,01650,Vapaala,Vantaa,54,16.83,Vapaala,97.79
8191,2022Q4,Yksiöt,4977.0,13,01700,Kivistö,Vantaa,214,25.09,Kivistö,198.37
8223,2022Q4,Kaksiot,4718.6,2,01700,Kivistö,Vantaa,104,20.23,Kivistö,233.25
8255,2022Q4,Kolmiot+,3884.61,4,01700,Kivistö,Vantaa,54,22.66,Kivistö,171.43
8287,2022Q4,Yksiöt,4084.75,2,01710,Pähkinärinne,Vantaa,97,20.36,Pähkinärinne,200.63
8319,2022Q4,Kaksiot,2083.0,10,01710,Pähkinärinne,Vantaa,108,15.72,Pähkinärinne,132.51
8351,2022Q4,Kolmiot+,2182.0,6,01710,Pähkinärinne,Vantaa,.,15.15,Pähkinärinne,144.03
8383,2022Q4,Yksiöt,6930.25,2,02100,Tapiola,Espoo,205,24.68,Tapiola,280.8
8415,2022Q4,Kaksiot,6925.0,6,02100,Tapiola,Espoo,.,20.99,Tapiola,329.92
8447,2022Q4,Kolmiot+,6245.0,8,02100,Tapiola,Espoo,.,19.95,Tapiola,313.03
8479,2022Q4,Yksiöt,6660.16,1,02110,Otsolahti,Espoo,61,25.18,Otsolahti,264.5
8511,2022Q4,Kaksiot,6342.73,2,02110,Otsolahti,Espoo,66,19.62,Otsolahti,323.28
8543,2022Q4,Kolmiot+,5205.0,8,02110,Otsolahti,Espoo,.,15.07,Otsolahti,345.39
8575,2022Q4,Yksiöt,7063.43,3,02120,Länsikorkee-Suvikumpu,Espoo,97,25.63,Länsikorkee-Suvikumpu,275.59
8607,2022Q4,Kaksiot,5409.94,5,02120,Länsikorkee-Suvikumpu,Espoo,68,18.79,Länsikorkee-Suvikumpu,287.92
8639,2022Q4,Kolmiot+,5295.0,8,02120,Länsikorkee-Suvikumpu,Espoo,.,17.57,Länsikorkee-Suvikumpu,301.37
8703,2022Q4,Kaksiot,4909.0,6,02130,Pohjois-Tapiola,Espoo,71,17.52,Pohjois-Tapiola,280.19
8863,2022Q4,Yksiöt,6114.1,2,02170,Haukilahti,Espoo,39,24.01,Haukilahti,254.65
8895,2022Q4,Kaksiot,5550.0,7,02170,Haukilahti,Espoo,23,18.31,Haukilahti,303.11
8927,2022Q4,Kolmiot+,4887.96,4,02170,Haukilahti,Espoo,.,17.29,Haukilahti,282.7
8959,2022Q4,Yksiöt,5901.3,5,02200,Niittykumpu,Espoo,411,26.79,Niittykumpu,220.28
8991,2022Q4,Kaksiot,5147.0,14,02200,Niittykumpu,Espoo,.,21.45,Niittykumpu,239.95
9055,2022Q4,Yksiöt,4268.91,2,02210,Olari,Espoo,151,23.12,Olari,184.64
9087,2022Q4,Kaksiot,3455.0,10,02210,Olari,Espoo,112,16.86,Olari,204.92
9119,2022Q4,Kolmiot+,3432.0,18,02210,Olari,Espoo,48,16.67,Olari,205.88
9151,2022Q4,Yksiöt,4452.16,10,02230,Matinkylä,Espoo,234,23.11,Matinkylä,192.65
9183,2022Q4,Kaksiot,3944.0,53,02230,Matinkylä,Espoo,465,18.66,Matinkylä,211.36
9215,2022Q4,Kolmiot+,4300.0,30,02230,Matinkylä,Espoo,.,16.65,Matinkylä,258.26
9279,2022Q4,Kaksiot,2462.66,.,02260,Kaitaa,Espoo,20,18.68,Kaitaa,131.83
9311,2022Q4,Kolmiot+,3321.04,5,02260,Kaitaa,Espoo,24,16.41,Kaitaa,202.38
9343,2022Q4,Yksiöt,3554.0,9,02320,Espoonlahti,Espoo,253,20.9,Espoonlahti,170.05
9375,2022Q4,Kaksiot,3971.0,18,02320,Espoonlahti,Espoo,317,18.14,Espoonlahti,218.91
9407,2022Q4,Kolmiot+,3512.0,25,02320,Espoonlahti,Espoo,.,14.79,Espoonlahti,237.46
9439,2022Q4,Yksiöt,3986.57,20,02330,Saunalahti-Kattilalaakso,Espoo,165,23.24,Saunalahti-Kattilalaakso,171.54
9471,2022Q4,Kaksiot,4696.81,19,02330,Saunalahti-Kattilalaakso,Espoo,119,20.2,Saunalahti-Kattilalaakso,232.52
9535,2022Q4,Yksiöt,4081.59,4,02360,Soukka,Espoo,123,21.1,Soukka,193.44
9631,2022Q4,Yksiöt,5427.6,4,02600,Etelä-Leppävaara,Espoo,439,24.9,Etelä-Leppävaara,217.98
9663,2022Q4,Kaksiot,4116.0,10,02600,Etelä-Leppävaara,Espoo,.,19.91,Etelä-Leppävaara,206.73
9791,2022Q4,Kolmiot+,4011.4,2,02610,Kilo,Espoo,.,17.98,Kilo,223.1
9855,2022Q4,Kaksiot,3891.55,4,02620,Karakallio,Espoo,.,18.21,Karakallio,213.7
9919,2022Q4,Yksiöt,3949.0,3,02650,Pohjois-Leppävaara,Espoo,156,22.53,Pohjois-Leppävaara,175.28
9951,2022Q4,Kaksiot,4071.0,10,02650,Pohjois-Leppävaara,Espoo,192,18.74,Pohjois-Leppävaara,217.24
9983,2022Q4,Kolmiot+,4363.0,13,02650,Pohjois-Leppävaara,Espoo,.,16.34,Pohjois-Leppävaara,267.01
10143,2022Q4,Kaksiot,2799.06,2,02710,Viherlaakso,Espoo,107,17.18,Viherlaakso,162.93
10175,2022Q4,Kolmiot+,2771.0,8,02710,Viherlaakso,Espoo,.,17.06,Viherlaakso,162.43
10207,2022Q4,Yksiöt,3385.99,4,02720,Lähderanta,Espoo,80,23.4,Lähderanta,144.7
10303,2022Q4,Yksiöt,5020.49,.,02750,Sepänkylä-Kuurinniitty,Espoo,21,21.47,Sepänkylä-Kuurinniitty,233.84
10367,2022Q4,Kolmiot+,3833.16,2,02750,Sepänkylä-Kuurinniitty,Espoo,.,16.06,Sepänkylä-Kuurinniitty,238.68
10399,2022Q4,Yksiöt,3334.0,6,02760,Tuomarila-Suvela,Espoo,192,21.29,Tuomarila-Suvela,156.6
10431,2022Q4,Kaksiot,2710.91,4,02760,Tuomarila-Suvela,Espoo,.,16.63,Tuomarila-Suvela,163.01
10495,2022Q4,Yksiöt,4368.87,1,02770,EspoonKeskus,Espoo,127,23.24,EspoonKeskus,187.99
10591,2022Q4,Yksiöt,4831.99,.,02780,Kauklahti,Espoo,.,21.72,Kauklahti,222.47
10623,2022Q4,Kaksiot,4007.79,1,02780,Kauklahti,Espoo,.,16.87,Kauklahti,237.57
10687,2022Q4,Yksiöt,4288.73,2,02940,Lippajärvi-Järvenperä,Espoo,45,22.54,Lippajärvi-Järvenperä,190.27
10719,2022Q4,Kaksiot,3312.46,4,02940,Lippajärvi-Järvenperä,Espoo,.,19.06,Lippajärvi-Järvenperä,173.79
10783,2022Q4,Yksiöt,4435.0,51,20100,TurkuKeskus,Turku,2086,19.02,TurkuKeskus,233.18
10815,2022Q4,Kaksiot,3527.0,68,20100,TurkuKeskus,Turku,1193,15.12,TurkuKeskus,233.27
10847,2022Q4,Kolmiot+,3552.0,76,20100,TurkuKeskus,Turku,241,13.89,TurkuKeskus,255.72
10879,2022Q4,Yksiöt,2944.67,5,20200,Iso-Heikkilä,Turku,158,17.19,Iso-Heikkilä,171.3
10911,2022Q4,Kaksiot,2799.0,15,20200,Iso-Heikkilä,Turku,56,13.38,Iso-Heikkilä,209.19
11007,2022Q4,Kaksiot,1243.07,5,20210,Pahaniemi,Turku,.,12.46,Pahaniemi,99.76
11135,2022Q4,Kolmiot+,1051.5,1,20240,Pansio-Perno,Turku,.,11.76,Pansio-Perno,89.41
11167,2022Q4,Yksiöt,3976.74,1,20300,Pohjola-Kastu,Turku,223,18.73,Pohjola-Kastu,212.32
11199,2022Q4,Kaksiot,3385.0,8,20300,Pohjola-Kastu,Turku,83,13.24,Pohjola-Kastu,255.66
11263,2022Q4,Yksiöt,2807.98,5,20320,Kuninkoja-Mälikkälä,Turku,286,16.26,Kuninkoja-Mälikkälä,172.69
11295,2022Q4,Kaksiot,2188.0,22,20320,Kuninkoja-Mälikkälä,Turku,203,13.64,Kuninkoja-Mälikkälä,160.41
11327,2022Q4,Kolmiot+,1899.0,26,20320,Kuninkoja-Mälikkälä,Turku,107,13.06,Kuninkoja-Mälikkälä,145.41
11359,2022Q4,Yksiöt,2311.31,2,20360,Runosmäki-Kärsämäki,Turku,202,16.31,Kärsämäki-Urusvuori-Halinen,141.71
11391,2022Q4,Kaksiot,1331.0,12,20360,Runosmäki-Kärsämäki,Turku,159,12.49,Kärsämäki-Urusvuori-Halinen,106.57
11423,2022Q4,Kolmiot+,1209.0,19,20360,Runosmäki-Kärsämäki,Turku,63,10.62,Kärsämäki-Urusvuori-Halinen,113.84
11487,2022Q4,Kaksiot,975.76,1,20460,Jäkärlä,Turku,.,10.8,Jäkärlä,90.35
11551,2022Q4,Yksiöt,4960.97,5,20500,Vesilinna,Turku,660,18.74,Vesilinna,264.73
11583,2022Q4,Kaksiot,4421.46,3,20500,Vesilinna,Turku,394,14.72,Vesilinna,300.37
11615,2022Q4,Kolmiot+,3157.0,6,20500,Vesilinna,Turku,59,13.76,Vesilinna,229.43
11647,2022Q4,Yksiöt,6958.3,2,20520,Kupittaa,Turku,347,19.88,Kupittaa,350.02
11679,2022Q4,Kaksiot,3466.65,3,20520,Kupittaa,Turku,409,15.92,Kupittaa,217.75
11711,2022Q4,Kolmiot+,3496.0,9,20520,Kupittaa,Turku,.,11.42,Kupittaa,306.13
11743,2022Q4,Yksiöt,3074.42,6,20540,Nummi-Ylioppilaskylä,Turku,345,17.46,Nummi-Ylioppilaskylä,176.08
11775,2022Q4,Kaksiot,2696.0,7,20540,Nummi-Ylioppilaskylä,Turku,290,13.89,Nummi-Ylioppilaskylä,194.1
11807,2022Q4,Kolmiot+,2278.0,16,20540,Nummi-Ylioppilaskylä,Turku,97,12.67,Nummi-Ylioppilaskylä,179.79
11839,2022Q4,Yksiöt,1724.4,2,20610,Varissuo,Turku,221,16.07,Varissuo,107.31
11871,2022Q4,Kaksiot,1270.0,13,20610,Varissuo,Turku,269,11.54,Varissuo,110.05
11903,2022Q4,Kolmiot+,1379.0,14,20610,Varissuo,Turku,177,11.15,Varissuo,123.68
11935,2022Q4,Yksiöt,4439.41,4,20700,Vartiovuori-Samppalinna,Turku,361,18.72,Vartiovuori-Samppalinna,237.15
11967,2022Q4,Kaksiot,3669.0,8,20700,Vartiovuori-Samppalinna,Turku,304,14.5,Vartiovuori-Samppalinna,253.03
11999,2022Q4,Kolmiot+,3870.75,4,20700,Vartiovuori-Samppalinna,Turku,36,13.57,Vartiovuori-Samppalinna,285.24
12031,2022Q4,Yksiöt,3825.76,4,20720,Vasaramäki,Turku,213,17.7,Vasaramäki,216.14
12063,2022Q4,Kaksiot,2866.42,6,20720,Vasaramäki,Turku,103,13.36,Vasaramäki,214.55
12095,2022Q4,Kolmiot+,2311.0,10,20720,Vasaramäki,Turku,22,12.0,Vasaramäki,192.58
12127,2022Q4,Yksiöt,2463.37,.,20740,Ilpoinen-Harittu,Turku,67,16.39,Ilpoinen-Harittu,150.3
12159,2022Q4,Kaksiot,1547.0,7,20740,Ilpoinen-Harittu,Turku,132,14.39,Ilpoinen-Harittu,107.51
12191,2022Q4,Kolmiot+,1994.0,10,20740,Ilpoinen-Harittu,Turku,.,10.62,Ilpoinen-Harittu,187.76
12223,2022Q4,Yksiöt,1507.17,1,20750,Huhkola-Lauste-Vaala,Turku,52,14.73,Huhkola-Lauste-Vaala,102.32
12255,2022Q4,Kaksiot,1022.0,6,20750,Huhkola-Lauste-Vaala,Turku,36,10.52,Huhkola-Lauste-Vaala,97.15
12287,2022Q4,Kolmiot+,1023.93,6,20750,Huhkola-Lauste-Vaala,Turku,35,10.27,Huhkola-Lauste-Vaala,99.7
12319,2022Q4,Yksiöt,4321.42,7,20810,Martti-Korppolaismäki,Turku,449,18.15,Martti-Korppolaismäki,238.09
12351,2022Q4,Kaksiot,3468.0,30,20810,Martti-Korppolaismäki,Turku,505,15.32,Martti-Korppolaismäki,226.37
12383,2022Q4,Kolmiot+,2958.0,14,20810,Martti-Korppolaismäki,Turku,.,13.93,Martti-Korppolaismäki,212.35
12447,2022Q4,Kaksiot,2277.09,4,20880,Uittamo,Turku,30,12.0,Uittamo,189.76
12479,2022Q4,Kolmiot+,2189.0,12,20880,Uittamo,Turku,.,10.17,Uittamo,215.24
12607,2022Q4,Yksiöt,5089.0,21,33100,TampereKeskus,Tampere,697,19.58,TampereKeskus,259.91
12639,2022Q4,Kaksiot,4210.0,32,33100,TampereKeskus,Tampere,427,15.75,TampereKeskus,267.3
12671,2022Q4,Kolmiot+,4161.0,27,33100,TampereKeskus,Tampere,90,14.44,TampereKeskus,288.16
12703,2022Q4,Yksiöt,5173.0,7,33200,TampereKeskusLäntinen,Tampere,389,19.98,TampereKeskusLäntinen,258.91
12735,2022Q4,Kaksiot,4343.0,16,33200,TampereKeskusLäntinen,Tampere,252,15.47,TampereKeskusLäntinen,280.74
12767,2022Q4,Kolmiot+,4434.0,9,33200,TampereKeskusLäntinen,Tampere,77,14.92,TampereKeskusLäntinen,297.18
12799,2022Q4,Yksiöt,4436.31,5,33210,Itä-Amuri-Tammerkoski,Tampere,504,20.39,Itä-Amuri-Tammerkoski,217.57
12831,2022Q4,Kaksiot,4318.0,16,33210,Itä-Amuri-Tammerkoski,Tampere,226,14.75,Itä-Amuri-Tammerkoski,292.75
12863,2022Q4,Kolmiot+,3293.0,9,33210,Itä-Amuri-Tammerkoski,Tampere,39,14.68,Itä-Amuri-Tammerkoski,224.32
12895,2022Q4,Yksiöt,4173.0,8,33230,Länsi-Amuri,Tampere,146,18.67,Länsi-Amuri,223.51
12927,2022Q4,Kaksiot,4070.0,14,33230,Länsi-Amuri,Tampere,77,14.77,Länsi-Amuri,275.56
12959,2022Q4,Kolmiot+,3758.0,18,33230,Länsi-Amuri,Tampere,.,12.35,Länsi-Amuri,304.29
12991,2022Q4,Yksiöt,3391.62,3,33240,Tahmela,Tampere,68,19.06,Tahmela,177.94
13023,2022Q4,Kaksiot,3400.47,1,33240,Tahmela,Tampere,22,14.39,Tahmela,236.31
13087,2022Q4,Yksiöt,4652.68,5,33250,Pispala,Tampere,116,20.08,Pispala,231.71
13119,2022Q4,Kaksiot,3851.16,1,33250,Pispala,Tampere,51,15.97,Pispala,241.15
13183,2022Q4,Yksiöt,3128.5,3,33270,Epilä,Tampere,84,17.38,Epilä,180.01
13215,2022Q4,Kaksiot,2868.0,8,33270,Epilä,Tampere,72,14.51,Epilä,197.66
13247,2022Q4,Kolmiot+,2366.0,6,33270,Epilä,Tampere,34,12.98,Epilä,182.28
13279,2022Q4,Yksiöt,2485.57,2,33300,Rahola,Tampere,72,17.38,Rahola,143.01
13311,2022Q4,Kaksiot,2385.0,6,33300,Rahola,Tampere,56,13.65,Rahola,174.73
13375,2022Q4,Yksiöt,2296.6,.,33310,Tesoma,Tampere,73,19.29,Tesoma,119.06
13407,2022Q4,Kaksiot,1702.0,15,33310,Tesoma,Tampere,118,15.57,Tesoma,109.31
13439,2022Q4,Kolmiot+,1503.0,8,33310,Tesoma,Tampere,56,15.75,Tesoma,95.43
13503,2022Q4,Kaksiot,1687.75,3,33330,Myllypuro-Kalkku,Tampere,.,11.43,Myllypuro-Kalkku,147.66
13567,2022Q4,Yksiöt,1996.77,70,33340,Haukiluoma-Ikuri,Tampere,43,19.04,Haukiluoma-Ikuri,104.87
13599,2022Q4,Kaksiot,1404.78,37,33340,Haukiluoma-Ikuri,Tampere,20,13.4,Haukiluoma-Ikuri,104.83
13663,2022Q4,Yksiöt,4315.0,6,33400,Luoteis-Tampere,Tampere,233,19.36,Luoteis-Tampere,222.88
13695,2022Q4,Kaksiot,3698.41,2,33400,Luoteis-Tampere,Tampere,.,13.64,Luoteis-Tampere,271.14
13759,2022Q4,Yksiöt,3626.11,5,33410,Lentävänniemi,Tampere,148,17.53,Lentävänniemi,206.85
13791,2022Q4,Kaksiot,2751.0,12,33410,Lentävänniemi,Tampere,89,12.13,Lentävänniemi,226.79
13823,2022Q4,Kolmiot+,2121.58,5,33410,Lentävänniemi,Tampere,33,11.09,Lentävänniemi,191.31
13951,2022Q4,Yksiöt,3760.0,9,33500,Osmonmäki-Petsamo,Tampere,620,19.62,Osmonmäki-Petsamo,191.64
13983,2022Q4,Kaksiot,3670.0,17,33500,Osmonmäki-Petsamo,Tampere,376,15.17,Osmonmäki-Petsamo,241.92
14015,2022Q4,Kolmiot+,3775.0,18,33500,Osmonmäki-Petsamo,Tampere,64,13.87,Osmonmäki-Petsamo,272.17
14079,2022Q4,Kaksiot,2977.79,3,33520,Keskussairaala-alue-Kauppi,Tampere,29,14.71,Keskussairaala-alue-Kauppi,202.43
14143,2022Q4,Yksiöt,3807.01,.,33530,Kissanmaa,Tampere,124,17.56,Kissanmaa,216.8
14175,2022Q4,Kaksiot,2656.0,11,33530,Kissanmaa,Tampere,60,13.9,Kissanmaa,191.08
14239,2022Q4,Yksiöt,4106.0,14,33540,Kaleva,Tampere,614,19.61,Kaleva,209.38
14271,2022Q4,Kaksiot,3465.0,29,33540,Kaleva,Tampere,340,15.07,Kaleva,229.93
14303,2022Q4,Kolmiot+,3522.0,11,33540,Kaleva,Tampere,109,14.95,Kaleva,235.59
14335,2022Q4,Yksiöt,3354.14,2,33560,Takahuhti,Tampere,105,18.0,Takahuhti,186.34
14367,2022Q4,Kaksiot,2720.0,9,33560,Takahuhti,Tampere,180,14.56,Takahuhti,186.81
14399,2022Q4,Kolmiot+,2225.58,5,33560,Takahuhti,Tampere,64,13.29,Takahuhti,167.46
14431,2022Q4,Yksiöt,2824.0,8,33580,Atala-Linnainmaa,Tampere,208,19.53,Atala-Linnainmaa,144.6
14463,2022Q4,Kaksiot,2815.9,3,33580,Atala-Linnainmaa,Tampere,139,16.82,Atala-Linnainmaa,167.41
14495,2022Q4,Kolmiot+,2690.74,2,33580,Atala-Linnainmaa,Tampere,.,14.65,Atala-Linnainmaa,183.67
14527,2022Q4,Yksiöt,2879.0,7,33710,Kaukajärvi,Tampere,230,17.74,Kaukajärvi,162.29
14559,2022Q4,Kaksiot,2135.0,12,33710,Kaukajärvi,Tampere,368,13.87,Kaukajärvi,153.93
14591,2022Q4,Kolmiot+,1690.0,8,33710,Kaukajärvi,Tampere,.,12.32,Kaukajärvi,137.18
14623,2022Q4,Yksiöt,2856.0,10,33720,Hervanta,Tampere,946,17.99,Hervanta,158.75
14655,2022Q4,Kaksiot,1950.0,22,33720,Hervanta,Tampere,1174,13.43,Hervanta,145.2
14687,2022Q4,Kolmiot+,1779.0,21,33720,Hervanta,Tampere,.,12.23,Hervanta,145.46
14719,2022Q4,Yksiöt,2273.0,6,33800,Nekala,Tampere,522,20.04,Nekala,113.42
14751,2022Q4,Kaksiot,2852.0,9,33800,Nekala,Tampere,113,14.73,Nekala,193.62
14783,2022Q4,Kolmiot+,2975.82,4,33800,Nekala,Tampere,.,13.39,Nekala,222.24
14815,2022Q4,Yksiöt,3033.56,3,33820,Koivistonkylä,Tampere,47,16.78,Koivistonkylä,180.78
14847,2022Q4,Kaksiot,2266.0,8,33820,Koivistonkylä,Tampere,62,13.62,Koivistonkylä,166.37
14943,2022Q4,Kaksiot,2087.91,5,33840,Peltolammi,Tampere,54,12.1,Peltolammi,172.55
14975,2022Q4,Kolmiot+,1537.0,6,33840,Peltolammi,Tampere,.,10.87,Peltolammi,141.4
15007,2022Q4,Yksiöt,3926.0,7,33900,Härmälä-Rantaperkiö,Tampere,484,20.14,Härmälä-Rantaperkiö,194.94
15039,2022Q4,Kaksiot,3366.0,17,33900,Härmälä-Rantaperkiö,Tampere,.,15.0,Härmälä-Rantaperkiö,224.4
15102,2022Q4,Yksiöt,8631.0,20,00100,Helsinkikeskusta-Etu-Töölö,Helsinki,741,29.48,HelsinkiKeskusta-Etu-Töölö,292.77
15133,2022Q4,Kaksiot,8102.0,31,00100,Helsinkikeskusta-Etu-Töölö,Helsinki,289,23.38,HelsinkiKeskusta-Etu-Töölö,346.54
15164,2022Q4,Kolmiot+,7714.0,19,00100,Helsinkikeskusta-Etu-Töölö,Helsinki,.,23.07,HelsinkiKeskusta-Etu-Töölö,334.37
